"name","code","close_method","id"
"Crediti","receivable","unreconciled","account_type_receivable"
"Debiti","payable","unreconciled","account_type_payable"
"Gerarchia","view","none","account_type_view"
"Entrate","income","balance","account_type_income"
"Uscite","expense","balance","account_type_expense"
"Tasse","tax","unreconciled","account_type_tax"
"Contanti","cash","balance","account_type_cash"
"Beni","asset","balance","account_type_asset"
"Capitali","equity","balance","account_type_equity"
"Banca","bank","balance","account_type_bank"
"Sezione Bilancio","bilancio1","none","account_type_legalview1"
"Titolo Bilancio","bilancio2","none","account_type_legalview2"
"Voce Bilancio","bilancio3","none","account_type_legalview3"
"Sotto-voce Bilancio","bilancio4","none","account_type_legalview4"
