CODE;Descrizione;UM;Depos;Codice-Deposito;Linea;Consumi dal 01/01/19 al 04/02/20;QTY;COST;Totale;Note;;
5810058;PASTA-REPI "RUOTE" BIANC 19662;Kg;18;581005818;Roller;0,05;5;10,09495; 50,47 ;;;
5940277;MASTER PMMA GRI 1% FAL10251;Kg;18;594027718;;0,71;17;15,45; 262,65 ;;;
5161131;PMMA OPLAE DIFFONDENTE;Kg;18;516113118;;0,98;13;6; 78,00 ;;;
5161130;PMMA 8N BLU 550001 6077A-TR;Kg;18;516113018;;1;47;0; -   ;Campionatura 20/05/19;;
5161127;PMMA PLEXIGLAS FT15 BLACK9V022;Kg;18;516112718;Auto;1;22;0; -   ;Campionatura gratuita 2018;;
5740250;MASTER X PBT CV10% GRRAL 7004;KG;18;574025018;;1,6;47;6,9; 324,30 ;;;
5740275;MASTER GRIGIO 422EC X GOMMA 2%;Kg;18;574027518;;2,24;63;9,52314; 599,96 ;;;
5940297;MASTER BEIGE  TPV;Kg;18;594029718;Auto;3,23;9;6,5; 58,50 ;;;
5940314;MASTER LIQROSSO 22708 0,25 %;Kg;18;594031418;;3,46;23;43; 989,00 ;;;
5740207;MASTER X PA GRIGIO RAL 7037;KG;18;574020718;;3,67;25;9,49937; 237,48 ;;;
5506019;1590005 GRIGLIA DECORWIND GV05;NR;9005;55060199005;;4;18;9,14; 164,52 ;;;
5506018;1590004 GRIGLIA DECORWIND GV04;NR;9005;55060189005;;4;16;9,14; 146,24 ;;;
5740069;MASTER X PA ARGENTO;Kg;18;574006918;Roller;4,82;1;12,35805; 12,36 ;;;
5116085;PA 6 NERO;KG;18;511608518;;5;56;0,77369; 43,33 ;;;
5910854;BI-ADESIVO 20 X 0,8 COD 5790;RT;18;591085418;;5,26;4;15,94668; 63,79 ;;;
5142888;PC/ABS ROSSO PANTONE 186C;KG;18;514288818;;5,77;36;4,455; 160,38 ;;;
5740165;MASTER ROSSO X PA Valert M 4%;Kg;18;574016518;;6;21;17,52647; 368,06 ;;;
5740037;2810132-00 MASTER VERDE TRASP;Kg;18;574003718;;6;20;2,7177; 54,35 ;;;
5185052;TPE XELTER A11A90-B01-S00;Kg;18;518505218;;6;14;0; -   ;Campionatura 30/04/19;;
5940293;MASTER NERO TPU CROMABI EVR008;Kg;18;594029318;;8;33;5; 165,00 ;;;
5185051;TPE XELTER B11A80-B00-S00;Kg;18;518505118;;9;15;0; -   ;Campionatura 30/04/19;;
5910946;SCATOLA KIT RUOTE 220X220X25;PZ;18;591094618;Roller;10;92;0,6; 55,20 ;;;
5940306;MASTER PP VERDE SCURO RAL6029;Kg;18;594030618;;10,83;25;9,9; 247,50 ;;;
5910614;ACETONE PURO;Lt;2814;59106142814;;11;4;2,45; 9,80 ;;;
5910909;SCATOLA RICAMBI CARTER ANT ALT;PZ;18;591090918;;12;12;12,2; 146,40 ;;;
5940305;MASTER PP BLU RAL 5002;Kg;18;594030518;;12,35;30;6,9; 207,00 ;;;
5910195;STABILIZZANTE PU 99;KG;18;591019518;Roller;12,91;4;16,33347; 65,33 ;;;
5142827;ABS V0 UL94 GRIGIO RAL 7035;Kg;18;514282718;;13;13;3,8; 49,40 ;;;
5142882;ABS ROSSO PANTONE 186C;KG;18;514288218;;13,22;36;4,38456; 157,84 ;;;
5185054;TPE THERMOLAST K TC6AWZ BLACK;KG;18;518505418;Auto;13,7;235;10,21; 2399,35 ;;;
5910910;SCATOLA RICAMBI CARTER ALTO;PZ;18;591091018;;16;8;12,8; 102,40 ;;;
5740051;MASTER KR543 MARRON NOCE 6986;Kg;18;574005118;;17;12;2,64; 31,68 ;;;
5501217;ELASTURAN 6005/139;KG;18;550121718;Roller;18,52;9;9,81996; 88,38 ;;;
5501210;POLIOLO 90230;KG;18;550121018;Roller;18,57;50;3,59792; 179,90 ;;;
5151175;APEC 1695 GRIGIO 703897;Kg;18;515117518;Auto;20,35;80;0; -   ;Campionatura 23/10/19;;
5151163;PC MAKROLON 2407 WHITE 012797;Kg;18;515116318;;20,41;110;4,8; 528,00 ;;;
5151172;APEC 1895 BIANCO;Kg;18;515117218;;21;84;0; -   ;Campionatura 19/07/19;;
5151162;PC MAKROLON 2407 WHITE 20023;Kg;18;515116218;;22,08;178;4,3; 765,40 ;;;
5910977;SCATOLA SGAB LED INDUSTRIALE;PZ;18;591097718;;22,25;26;10,5; 273,00 ;;;
5910977;SCATOLA SGAB LED INDUSTRIALE;PZ;1966;59109771966;;22,25;8;10,5; 84,00 ;;;
5506015;1590001 GRIGLIA DECORWIND GV01;NR;9005;55060159005;;23;5;9,14; 45,70 ;;;
5139268;PP GF30 HOSTACOM G3 N01 BLACK;Kg;18;513926818;;24,2;193;2,67; 515,31 ;;;
5Q102020;ABS NEUTRO MAGNUM 3525;Kg;18;5Q10202018;Auto;24,73;22;4,06667; 89,47 ;;;
5139267;PP ADSTIF EA 648 P NATURAL;Kg;18;513926718;;25;475;1,68; 798,00 ;;;
5940313;MASTER LIQARANCIO 22710 0,25%;Kg;18;594031318;;27,29;25;30; 750,00 ;;;
5005079;PALETTA 80X200 CARTER ALTI;Pz;18;500507918;;27,72;96;10,07814; 967,50 ;;;
5005079;PALETTA 80X200 CARTER ALTI;Pz;1491;50050791491;;27,72;6;10,07814; 60,47 ;;;
5506016;1590002 GRIGLIA DECORWIND GV02;NR;9005;55060169005;;29;4;9,14; 36,56 ;;;
5940315;MASTER LIQUVERDE 22711 0,25 %;Kg;18;594031518;;29,18;22;25; 550,00 ;;;
5910913;0N002473AA RINFORZO LAMCARTER;Pz;18;591091318;;30;20;2,2; 44,00 ;;;
5940311;MASTER RAL 0005000 1% PP 52460;Kg;18;594031118;;31,38;30;7,2; 216,00 ;;;
5910907;SCATOLA RICAMBI CARTER ANT STD;PZ;18;591090718;;34;40;13,12792; 525,12 ;;;
5910965;212541700F GPB GAMBO D11 Zinca;PZ;18;591096518;Roller;34;1108;0,1; 110,80 ;;;
5110005;ABS NATURALE CROMNOVODUR P2MC;KG;18;511000518;;38,26;2476;0,9899; 2450,99 ;;;
5007004;DISTACCANTE LEVENIT HSI 9285 B;KG;18;500700418;Roller;39,81;240;5,24381; 1258,51 ;;;
5126066;PC MAKROLON 2407 TRASPARENTE;KG;18;512606618;;39,98;247;3,03626; 749,96 ;;;
5940298;MASTER NERO TPU POLYONE 3BK-20;Kg;18;594029818;;40,47;208;13,48; 2803,84 ;;;
5151173;APEC 1895 GRIGIO RAL 7035;Kg;18;515117318;;44,79;20;0; -   ;Campionatura 19/07/19;;
5142864;ABS NOVODUR HH112 1263390047;KG;18;514286418;Auto;45;120;2,26; 271,20 ;;;
5940295;2810162 MASTER 0005000 ABS/ASA;Kg;18;594029518;;45,46;29;4,45714; 129,26 ;;;
5740216;MASTER X PST BIA RAL 9016;KG;18;574021618;;45,63;36;7,02857; 253,03 ;;;
5940289;MASTER PA KROMAMID BIANCO 4%;Kg;18;594028918;Auto;47,42;29;9,3; 269,70 ;;;
5740071;MASTER ARGENTO 000645 X PBT;Kg;18;574007118;;56,27;11;12,81875; 141,01 ;;;
5005080;PALETTA LEGGERA 120X200 TECH;Pz;18;500508018;;56,3;27;10,75161; 290,29 ;;;
